tick,arrived,cumulative_avg,windowed_avg,min_time,max_time,p95_time,throughput,rush_level,system_cost,total_delay,active_vehicles,reroutes
1.00,0,0.00,0.00,999999.00,0.00,0.00,0.00,0.00,480.00,0.00,48,0
50.00,0,0.00,0.00,999999.00,0.00,0.00,0.00,0.00,220.08,0.00,50,0
100.00,0,0.00,0.00,999999.00,0.00,0.00,0.00,0.01,140.09,0.00,53,0
150.00,0,0.00,0.00,999999.00,0.00,0.00,0.00,0.01,80.12,0.00,56,0
200.00,0,0.00,0.00,999999.00,0.00,0.00,0.00,0.01,80.14,0.00,59,0
250.00,1,24.30,24.30,24.30,24.30,0.00,0.00,0.01,40.16,-8.10,60,0
300.00,3,27.27,27.27,24.30,28.90,0.00,0.01,0.01,70.13,-7.59,61,0
350.00,7,30.93,30.93,24.30,35.00,0.00,0.02,0.01,150.12,-6.30,60,0
400.00,10,32.86,32.86,24.30,39.60,0.00,0.03,0.01,70.14,10.28,60,0
450.00,12,34.40,34.40,24.30,43.70,0.00,0.03,0.01,50.14,34.86,60,0
500.00,16,36.20,36.20,24.30,48.90,0.00,0.03,0.01,50.11,50.23,59,0
550.00,25,38.03,38.03,18.30,53.40,52.30,0.05,0.01,20.14,100.57,53,0
600.00,33,41.52,41.52,16.50,59.80,59.20,0.05,0.01,30.10,197.73,48,0
650.00,39,43.86,43.86,16.50,64.20,61.60,0.06,0.01,60.08,254.03,45,0
700.00,43,46.13,46.13,16.50,69.70,67.60,0.06,0.01,20.09,263.29,43,0
750.00,50,48.43,48.43,16.50,73.60,71.60,0.07,0.01,20.08,329.87,39,0
800.00,58,49.88,49.88,16.50,79.40,75.40,0.07,0.01,20.06,403.97,34,0
850.00,65,52.10,52.10,16.50,84.10,80.80,0.08,0.01,20.05,505.18,30,0
